no,name,attributes,ability_name,ability_desc,strong_against,weak_to,resists,resisted_by,skills,image
180,卷毛鸭,"草,武",得寸进尺,天气为雨天，或处于其他水系环境中时，获得双攻+100%。,"地,普通,水,光,冰,恶","火,冰,毒,翼,萌,幻","水,地,光,电,恶","毒,虫,翼,火,龙,萌,幽,幻",刺藤;根吸收;崩拳;力量增效;顶端优势;热身运动;藤绞;盛开;先发制人;针刺射击;爆冲;一拳;散手;抽枝;星星撞击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;水弹枪;风矢;偷袭;取念;应激反应;斩断;无影脚;晒太阳;有效预防;水刃;疾风刺;落雨;蓄水;见招拆招;连续爪击;防御,images/sprites/卷毛鸭.png
181,海豹战士,"武,水",身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,,"萌,翼,幻,草,电","地,虫,恶,火,机械",,气波;魔法增效;水泡盾;泡沫;蓄水;先发制人;力量增效;防御反击;气泡;化劲;水幕冲击;听桥;一拳;斩断;水刃;防反;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;冷风;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水弹枪;羽翼庇护;丢冰块;乱打;冰墙;冰爪;反击拳;取念;叠势;垂死反击;有效预防;水波术;水环;泡沫幻影;热身运动;硬门;防御;雪替身,images/sprites/海豹战士.png
182,海豹船长,"武,水",身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,,"萌,翼,幻,草,电","地,虫,恶,火,机械",,气波;魔法增效;水泡盾;泡沫;蓄水;先发制人;力量增效;防御反击;气泡;化劲;水幕冲击;听桥;一拳;斩断;水刃;防反;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;冷风;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水弹枪;羽翼庇护;丢冰块;乱打;冰墙;冰爪;反击拳;取念;叠势;垂死反击;有效预防;水波术;水环;泡沫幻影;热身运动;硬门;防御;雪替身,images/sprites/海豹船长.png
183,号儿鱼,水,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,"火,地,机械","草,电","火,机械","草,冰,龙",激怒;甩水;防御;肥皂泡;洗礼;许愿星;打湿;泡沫幻影;水炮;润泽;涌泉;落雨;盐水浴;休息回复;贪婪;升龙咆哮;麻痹;化劲;引燃;鬼火;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;水弹枪;羽化加速;主轴;勾魂;取念;嘲弄;快速移动;恐吓;恶作剧;操控;杠杆置换;棘刺;灵媒;精神扰乱;魔法增效,images/sprites/号儿鱼.png
184,圆号鱼,水,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,"火,地,机械","草,电","火,机械","草,冰,龙",激怒;甩水;防御;肥皂泡;洗礼;许愿星;打湿;泡沫幻影;水炮;润泽;涌泉;落雨;盐水浴;休息回复;贪婪;升龙咆哮;麻痹;化劲;引燃;鬼火;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;水弹枪;羽化加速;主轴;勾魂;取念;嘲弄;快速移动;恐吓;恶作剧;操控;杠杆置换;棘刺;灵媒;精神扰乱;魔法增效,images/sprites/圆号鱼.png
185,甜田螺,"水,萌",守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,"地,武,恶","草,电,恶,毒","火,虫,武","草,电,毒,恶",泡沫幻影;泡沫;甜心续航;肥皂泡;魔法增效;潮涌;打湿;水环;砂糖弹球;落雨;爆米花爆破;捧杀;生日蛋糕;月光合奏;水刃;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;飞吻;念力膨胀;淤泥表皮;溃烂触碰;水弹枪;羽翼庇护;借用;力量增效;撒娇;无畏之心;有效预防;水波术;洗礼;涌泉;潮汐;热身运动;破罐破摔;突袭;网缚;虫结阵;虫鸣;防御;音爆,images/sprites/甜田螺.png
186,壳乙螺,"水,萌",守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,"地,武,恶","草,电,恶,毒","火,虫,武","草,电,毒,恶",泡沫幻影;泡沫;甜心续航;肥皂泡;魔法增效;潮涌;打湿;水环;砂糖弹球;落雨;爆米花爆破;捧杀;生日蛋糕;月光合奏;水刃;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;飞吻;念力膨胀;淤泥表皮;溃烂触碰;水弹枪;羽翼庇护;借用;力量增效;撒娇;无畏之心;有效预防;水波术;洗礼;涌泉;潮汐;热身运动;破罐破摔;突袭;网缚;虫结阵;虫鸣;防御;音爆,images/sprites/壳乙螺.png
187,卡洛儿,"水,萌",守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,"地,武,恶","草,电,恶,毒","火,虫,武","草,电,毒,恶",泡沫幻影;泡沫;甜心续航;肥皂泡;魔法增效;潮涌;打湿;水环;砂糖弹球;落雨;爆米花爆破;捧杀;生日蛋糕;月光合奏;水刃;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;飞吻;念力膨胀;淤泥表皮;溃烂触碰;水弹枪;羽翼庇护;借用;力量增效;撒娇;无畏之心;有效预防;水波术;洗礼;涌泉;潮汐;热身运动;破罐破摔;突袭;网缚;虫结阵;虫鸣;防御;音爆,images/sprites/卡洛儿.png
188,棋棋,"武,地",腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;拍击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;幻象;花香;冷风;噬心;虹光冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;借用;先发制人;扫尾;晒太阳;触底强击;迫近攻击,images/sprites/棋棋_白子.png
188,棋棋,"武,地",腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;拍击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;幻象;花香;冷风;噬心;虹光冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;借用;先发制人;扫尾;晒太阳;触底强击;迫近攻击,images/sprites/棋棋_白子.png
189,棋骑士,"武,地",腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;提气;鸣沙陷阱;气沉丹田;破绽;岩土暴击;截拳;地刺;星星撞击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;灵媒;花香;冰爪;噬心;折线冲击;金属噪音;碰爪;星云漩涡;扬沙;毒沼;泡沫;风矢;主轴;借用;倾泻;先发制人;光刃;地陷;快速移动;散手;晒太阳;漫反射;热身运动;石肤术;触底强击;连续爪击;迫近攻击;透射,images/sprites/棋骑士_白子.png
189,棋骑士,"武,地",腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;提气;鸣沙陷阱;气沉丹田;破绽;岩土暴击;截拳;地刺;星星撞击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;灵媒;花香;冰爪;噬心;透射;金属噪音;碰爪;星云漩涡;扬沙;毒沼;泡沫;风矢;主轴;借用;倾泻;先发制人;力量吞噬;地陷;快速移动;撕裂;散手;晒太阳;热身运动;石肤术;触底强击;连续爪击;迫害;迫近攻击,images/sprites/棋骑士_白子.png
190,棋齐垒,"武,地",保卫,防御技能应对2次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;不动如山;石肤术;鸣沙陷阱;气沉丹田;硬门;一拳;斩断;防反;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;折线冲击;械斗;碰爪;冥想;扬沙;溃烂触碰;水泡盾;风墙;借用;先发制人;吓退;听桥;壁垒;岩土暴击;晒太阳;有效预防;热身运动;硬化;触底强击;连续爪击;迫近攻击;透射;镜像反射;防御反击,images/sprites/棋齐垒_白子.png
190,棋齐垒,"武,地",保卫,防御技能应对2次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;不动如山;石肤术;鸣沙陷阱;提气;硬门;一拳;斩断;防反;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;透射;械斗;碰爪;冥想;扬沙;溃烂触碰;水泡盾;风墙;借用;先发制人;吓退;听桥;壁垒;岩土暴击;晒太阳;有效预防;热身运动;硬化;虚假破产;触底强击;诋毁;连续爪击;迫近攻击;防御反击,images/sprites/棋齐垒_白子.png
191,棋祈督,"武,地",好象坏象,状态技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;石肤术;陨石;提气;蓄势待发;岩脉崩毁;破绽;休息回复;贪婪;升龙咆哮;麻痹;贯手;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;扬沙;毒孢子;蓄水;羽化加速;借用;先发制人;反击拳;叠势;听桥;天光;岩土暴击;放晴;晒太阳;沙涌;泥浆铠甲;流沙;漫反射;热身运动;触底强击;迫近攻击;透射;防御反击;预备势,images/sprites/棋祈督_白子.png
191,棋祈督,"武,地",好象坏象,状态技能应对1次后，回满状态，变为棋绮后。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;石肤术;陨石;提气;蓄势待发;岩脉崩毁;破绽;休息回复;贪婪;升龙咆哮;麻痹;贯手;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;扬沙;毒孢子;蓄水;羽化加速;借用;先发制人;力量吞噬;反击拳;叠势;听桥;岩土暴击;撕咬;晒太阳;暗箱操作;沙涌;泥浆铠甲;流沙;热身运动;触底强击;诋毁;迫近攻击;防御反击;预备势,images/sprites/棋祈督_白子.png
192,棋绮后,"武,地",渗透,己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;石肤术;陨石;提气;蓄势待发;岩脉崩毁;破绽;休息回复;贪婪;升龙咆哮;麻痹;贯手;引燃;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;扬沙;毒孢子;蓄水;羽化加速;一拳;借用;先发制人;叠势;听桥;天光;抛石;摇篮曲;放晴;晒太阳;有效预防;气沉丹田;漫反射;热身运动;触底强击;迫近攻击;透射;防御反击;预备势;鸣沙陷阱,images/sprites/棋绮后_白子.png
192,棋绮后,"武,地",渗透,己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;石肤术;陨石;提气;蓄势待发;岩脉崩毁;破绽;休息回复;贪婪;升龙咆哮;麻痹;贯手;引燃;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;扬沙;毒孢子;蓄水;羽化加速;一拳;借用;先发制人;力量吞噬;叠势;听桥;抛石;摇篮曲;撕咬;晒太阳;暗箱操作;有效预防;气沉丹田;热身运动;触底强击;诋毁;迫近攻击;防御反击;预备势;鸣沙陷阱,images/sprites/棋绮后_白子.png
192,棋契陛下,"武,地",御驾亲征,棋契陛下大幅提升种族资质，力竭时扣除4魔力。,,"萌,幻,草,水,武,冰,机械","地,虫,恶,普通,火,电,毒",,寸拳;魔法增效;防御;气波;缠丝劲;力量增效;跺地;化劲;猛烈撞击;影袭;钧势;提气;鸣沙陷阱;气沉丹田;破绽;岩土暴击;截拳;地刺;星星撞击;恶能量;升龙咆哮;球状闪电;贯手;火焰冲锋;灵媒;花香;冰爪;噬心;折线冲击;金属噪音;碰爪;星云漩涡;扬沙;毒沼;泡沫;风矢;主轴;借用;倾泻;先发制人;光刃;地陷;快速移动;散手;晒太阳;漫反射;热身运动;石肤术;触底强击;连续爪击;迫近攻击;透射,images/sprites/棋契陛下.png
193,奔波鼠,地,奔波命,使用防御技能后，回合结束时脱离。,"火,冰,电,毒","草,水,武,冰,机械","普通,火,电,毒,翼","草,武",防御;拍击;泥浆;泥巴喷射;魔法增效;硬化;热砂;石肤术;壁垒;陨石;突袭;沙涌;不动如山;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;透射;离子震荡;碰爪;冥想;跺地;溃烂触碰;水泡盾;风墙;倾泻;刺盾;取念;吓退;感电;无畏之心;虫结阵;虫网;虫蛊;血气;超导加速;食腐;鼓劲,images/sprites/奔波鼠.png
194,流浪鼠,地,奔波命,使用防御技能后，回合结束时脱离。,"火,冰,电,毒","草,水,武,冰,机械","普通,火,电,毒,翼","草,武",防御;拍击;泥浆;泥巴喷射;魔法增效;硬化;热砂;石肤术;壁垒;陨石;突袭;沙涌;不动如山;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;透射;离子震荡;碰爪;冥想;跺地;溃烂触碰;水泡盾;风墙;倾泻;刺盾;取念;吓退;感电;无畏之心;虫结阵;虫网;虫蛊;血气;超导加速;食腐;鼓劲,images/sprites/流浪鼠.png
195,呆小路,"草,萌",营养液泡,获得增益时，额外获得层数+2。,"水,光,地,武,恶","火,冰,毒,翼,恶,机械","水,地,光,电,武","火,毒,机械,虫,翼",防御;种子弹;示弱;花香;击鼓传花;魅惑;花炮;碰爪;孢子;孢子爆散;光合作用;践踏;盛开;月光合奏;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;飞吻;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;借用;快速移动;晒太阳;氧输送;热身运动;生日蛋糕;破罐破摔;纤维化;绵里藏针;芳香诱引;赤子之心;防反;鼓劲;龙之利爪;龙吟,images/sprites/呆小路.png
196,舞动路路,"草,萌",营养液泡,获得增益时，额外获得层数+2。,"水,光,地,武,恶","火,冰,毒,翼,恶,机械","水,地,光,电,武","火,毒,机械,虫,翼",防御;种子弹;示弱;花香;击鼓传花;魅惑;花炮;碰爪;孢子;孢子爆散;光合作用;践踏;盛开;月光合奏;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;飞吻;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;借用;快速移动;晒太阳;氧输送;热身运动;生日蛋糕;破罐破摔;纤维化;绵里藏针;芳香诱引;赤子之心;防反;鼓劲;龙之利爪;龙吟,images/sprites/舞动路路.png
197,白发路路,"草,萌",营养液泡,获得增益时，额外获得层数+2。,"水,光,地,武,恶","火,冰,毒,翼,恶,机械","水,地,光,电,武","火,毒,机械,虫,翼",防御;种子弹;示弱;花香;击鼓传花;魅惑;花炮;碰爪;孢子;孢子爆散;光合作用;践踏;盛开;月光合奏;光能聚集;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;飞吻;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;三连破;借用;快速移动;晒太阳;氧输送;热身运动;生日蛋糕;破罐破摔;纤维化;绵里藏针;芳香诱引;赤子之心;防反;鼓劲;龙之利爪;龙吟,images/sprites/白发路路.png
198,逗逗,萌,鼓气,使用能耗为3的技能时，获得攻防+20%。,"龙,武,恶","恶,毒,机械","虫,武","火,毒,机械",防御;飞吻;示弱;超级糖果;甜心续航;撒娇;反弹;防反;破罐破摔;生日蛋糕;月光合奏;赤子之心;退化;吨位压制;应激反应;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;魅惑;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;交叉闪电;击鼓传花;取念;叠势;影袭;提气;摇篮曲;气沉丹田;热身运动;电磁偏转;破防;缠丝劲;超导;过载回路;防御反击,images/sprites/逗逗.png
199,气球猫,萌,鼓气,使用能耗为3的技能时，获得攻防+20%。,"龙,武,恶","恶,毒,机械","虫,武","火,毒,机械",防御;飞吻;示弱;超级糖果;甜心续航;撒娇;反弹;防反;破罐破摔;生日蛋糕;月光合奏;赤子之心;退化;吨位压制;应激反应;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;魅惑;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;交叉闪电;击鼓传花;取念;叠势;影袭;提气;摇篮曲;气沉丹田;热身运动;电磁偏转;破防;缠丝劲;超导;过载回路;防御反击,images/sprites/气球猫.png
200,梦想三三,萌,鼓气,使用能耗为3的技能时，获得攻防+20%。,"龙,武,恶","恶,毒,机械","虫,武","火,毒,机械",防御;飞吻;示弱;超级糖果;甜心续航;撒娇;反弹;防反;破罐破摔;生日蛋糕;月光合奏;赤子之心;退化;吨位压制;应激反应;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;魅惑;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;交叉闪电;击鼓传花;取念;叠势;影袭;提气;摇篮曲;气沉丹田;热身运动;电磁偏转;破防;缠丝劲;超导;过载回路;防御反击,images/sprites/梦想三三.png
200,奇梦咪,萌,三鼓作气,使用能耗为3的技能时，获得攻防永久+20%。,"龙,武,恶","恶,毒,机械","虫,武","火,毒,机械",防御;飞吻;示弱;超级糖果;甜心续航;撒娇;反弹;防反;破罐破摔;生日蛋糕;月光合奏;赤子之心;退化;吨位压制;应激反应;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;魅惑;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;主场优势;交叉闪电;击鼓传花;取念;叠势;影袭;提气;摇篮曲;气沉丹田;热身运动;电磁偏转;破防;缠丝劲;超导;过载回路;防御反击,images/sprites/奇梦咪.png
201,花怨鳗,"地,草",铃兰晚钟,首次入场时，失去自己一半的当前生命。,"水,光,地,冰,电","草,武,冰,机械,虫","普通,电,地,光","草,龙,虫,武,翼,机械",防御;聚盐;泥浆;种皮爆裂;蓄势待发;花香;沙涌;淤泥表皮;热砂;岩脉崩毁;遁地;践踏;地刺;酶浓度调整;抽枝;防反;诋毁;升龙咆哮;集中;反击拳;火焰护盾;虚化;荆棘爪;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;跺地;溃烂触碰;水泡盾;羽翼庇护;借用;刺盾;叶绿光束;吓退;嗜痛;坟场搏击;埋伏;岩土暴击;恐吓;操控;棘刺;热身运动;纤维化;蓄能轰击;藤绞;血气,images/sprites/花怨鳗.png
202,鳗尾兽,"地,草",铃兰晚钟,首次入场时，失去自己一半的当前生命。,"水,光,地,冰,电","草,武,冰,机械,虫","普通,电,地,光","草,龙,虫,武,翼,机械",防御;聚盐;泥浆;种皮爆裂;蓄势待发;花香;沙涌;淤泥表皮;热砂;岩脉崩毁;遁地;践踏;地刺;酶浓度调整;抽枝;防反;诋毁;升龙咆哮;集中;反击拳;火焰护盾;虚化;荆棘爪;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;跺地;溃烂触碰;水泡盾;羽翼庇护;借用;刺盾;叶绿光束;吓退;嗜痛;坟场搏击;埋伏;岩土暴击;恐吓;操控;棘刺;热身运动;纤维化;蓄能轰击;藤绞;血气,images/sprites/鳗尾兽.png
203,伊雷龙,龙,嫉妒,蓄力状态下，可以使用任一携带技能。,龙,"冰,龙,萌","草,火,水,电,翼",机械,绵里藏针;魔法增效;角击;防御;架势;升龙咆哮;龙吟;湮灭;龙威;怨力打击;应激反应;龙息环爆;突袭;拍击;黑手;龙吼;触电;贯手;火爪;灵媒;荆棘爪;冷风;尾后针;虹光冲击;离子震荡;魅惑;针状物;跺地;毒沼;肥皂泡;风矢;取念;叶绿光束;坍缩;大爆炸;强制重启;星轨裂变;氧输送;移花接木;粒子对撞;精神扰乱;超导;过载回路;阻断,images/sprites/伊雷龙.png
204,伊兰亚龙,龙,嫉妒,蓄力状态下，可以使用任一携带技能。,龙,"冰,龙,萌","草,火,水,电,翼",机械,绵里藏针;魔法增效;角击;防御;架势;升龙咆哮;龙吟;湮灭;龙威;怨力打击;应激反应;龙息环爆;突袭;拍击;黑手;龙吼;触电;贯手;火爪;灵媒;荆棘爪;冷风;尾后针;虹光冲击;离子震荡;魅惑;针状物;跺地;毒沼;肥皂泡;风矢;取念;叶绿光束;坍缩;大爆炸;强制重启;星轨裂变;氧输送;移花接木;粒子对撞;精神扰乱;超导;过载回路;阻断,images/sprites/伊兰亚龙.png
204,伊兰龙,龙,游弋,蓄力时可使用任一携带技能，且获得双防+100%。,龙,"冰,龙,萌","草,火,水,电,翼",机械,绵里藏针;魔法增效;角击;防御;架势;升龙咆哮;龙吟;湮灭;龙威;怨力打击;应激反应;龙息环爆;突袭;拍击;黑手;龙吼;触电;贯手;火爪;灵媒;荆棘爪;冷风;尾后针;虹光冲击;离子震荡;魅惑;针状物;跺地;毒沼;肥皂泡;风矢;取念;叶绿光束;坍缩;大爆炸;强制重启;星轨裂变;氧输送;移花接木;粒子对撞;精神扰乱;超导;过载回路;阻断,images/sprites/伊兰龙.png
205,拉特,电,噼啪,入场后首次行动，所选技能使用次数+1。,"水,翼",地,"翼,电,机械","地,龙,电,草",防御;球状闪电;魔法增效;超导加速;过载回路;超导;增程电池;电弧;麻痹;飞踢;闪击折返;雷暴;阻断;强制重启;拍击;恶能量;升龙咆哮;触电;缠丝劲;火焰冲锋;幻象;花香;霜降;噬心;虹光冲击;离子震荡;飞吻;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;三连破;乘胜追击;借用;力量增效;崩拳;影袭;提气;气波;热身运动;甜心续航;电离爆破;破绽;破罐破摔;虫网;虫鸣;超级糖果;追打,images/sprites/拉特.png
206,酷拉,电,噼啪,入场后首次行动，所选技能使用次数+1。,"水,翼",地,"翼,电,机械","地,龙,电,草",防御;球状闪电;魔法增效;超导加速;过载回路;超导;增程电池;电弧;麻痹;飞踢;闪击折返;雷暴;阻断;强制重启;拍击;恶能量;升龙咆哮;触电;缠丝劲;火焰冲锋;幻象;花香;霜降;噬心;虹光冲击;离子震荡;飞吻;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;三连破;乘胜追击;借用;力量增效;崩拳;影袭;提气;气波;热身运动;甜心续航;电离爆破;破绽;破罐破摔;虫网;虫鸣;超级糖果;追打,images/sprites/酷拉.png
207,闪电环,电,防过载保护,防过载保护,"水,翼",地,"翼,电,机械","地,龙,电,草",操控;电流;防御;导电撞击;晒太阳;电弧;电离爆破;先发制人;增程电池;引雷;加大功率;交叉闪电;麻痹;落雷;阻断;强制重启;拍击;恶能量;升龙咆哮;触电;缠丝劲;火焰冲锋;幻象;花香;霜降;噬心;虹光冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;倾泻;偷袭;冰点;勾魂;取念;咆哮;恐吓;惊吓盒子;掠夺;暗突袭;欺诈契约;灵媒;精神扰乱;诡刺;迫害;速冻;魔能爆,images/sprites/闪电环.png
208,刺电环,电,防过载保护,防过载保护,"水,翼",地,"翼,电,机械","地,龙,电,草",操控;电流;防御;导电撞击;晒太阳;电弧;电离爆破;先发制人;增程电池;引雷;加大功率;交叉闪电;麻痹;落雷;阻断;强制重启;拍击;恶能量;升龙咆哮;触电;缠丝劲;火焰冲锋;幻象;花香;霜降;噬心;虹光冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;倾泻;偷袭;冰点;勾魂;取念;咆哮;恐吓;惊吓盒子;掠夺;暗突袭;欺诈契约;灵媒;精神扰乱;诡刺;迫害;速冻;魔能爆,images/sprites/刺电环.png
209,荆棘电环,电,防过载保护,防过载保护,"水,翼",地,"翼,电,机械","地,龙,电,草",操控;电流;防御;导电撞击;晒太阳;电弧;电离爆破;先发制人;增程电池;引雷;加大功率;交叉闪电;麻痹;落雷;阻断;强制重启;拍击;恶能量;升龙咆哮;触电;缠丝劲;火焰冲锋;幻象;花香;霜降;噬心;虹光冲击;离子震荡;魅惑;星云漩涡;扬沙;溃烂触碰;泡沫;鹰爪;倾泻;偷袭;冰点;勾魂;取念;咆哮;恐吓;惊吓盒子;掠夺;暗突袭;欺诈契约;灵媒;精神扰乱;诡刺;迫害;速冻;魔能爆,images/sprites/荆棘电环.png
210,小箱怪,"机械,幻",虚假宝箱,自己力竭时，敌方获得攻防+20%。,"地,冰,毒,武,萌","火,水,幽","普通,毒,冰,翼,萌,草,机械,龙,幻","机械,火,水,光,电,幻",杠杆置换;能量守恒;粒子对撞;离子震荡;啮合传递;星云漩涡;星链;防御;针状物;主轴;冥想;磁暴;双星;后发制人;齿轮切开;错乱;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;尾后针;虹光冲击;金属噪音;魅惑;念力膨胀;淤泥表皮;溃烂触碰;水泡盾;风墙;借用;偷袭;刺盾;力量增效;压扁;吓退;四维降解;无畏之心;械斗;棘刺;泥巴喷射;硬化;退化;钢钻;震击;音爆,images/sprites/小箱怪.png
211,迷迷箱怪,"机械,幻",虚假宝箱,自己力竭时，敌方获得攻防+20%。,"地,冰,毒,武,萌","火,水,幽","普通,毒,冰,翼,萌,草,机械,龙,幻","机械,火,水,光,电,幻",杠杆置换;能量守恒;粒子对撞;离子震荡;啮合传递;星云漩涡;星链;防御;针状物;主轴;冥想;磁暴;双星;后发制人;齿轮切开;错乱;防反;等价交换;升龙咆哮;集中;反击拳;火焰护盾;虚化;蜡质膜;雪替身;尾后针;虹光冲击;金属噪音;魅惑;念力膨胀;淤泥表皮;溃烂触碰;水泡盾;风墙;借用;偷袭;刺盾;力量增效;压扁;吓退;四维降解;无畏之心;械斗;棘刺;泥巴喷射;硬化;退化;钢钻;震击;音爆,images/sprites/迷迷箱怪.png
